"name","label","value","reference","label.html","label.tex","unit.html","unit.tex"
"Speed of light","c",299792458,"per definition","<i>c</i>","\ensuremath{c}","m s⁻¹","\si{\metre\per\second}"
"Elementary charge","e",1.602176634e-19,"CODATA 2018","<i>e</i>","\ensuremath{e}","C","\si{\coulomb}"
"Planck's constant","h",6.62607015e-34,"CODATA 2018","<i>h</i>","\ensuremath{h}","J s⁻¹","\si{\joule\second}"
"Planck's constant","h.eV",4.135667696e-15,"CODATA 2018","<i>h</i>","\ensuremath{h}","eV s⁻¹","\si{\electronvolt\second}"
"Boltzmann's constant","k",1.380649e-23,"CODATA 2018","<i>k</i>","\ensuremath{k}","J K⁻¹","\si{\joule\per\kelvin}"
"Stefan-Boltzmann constant","sigma",5.670374419e-08,"CODATA 2018","σ","\ensuremath{\sigma}","W m⁻² K⁻⁴","\si{\watt\per\square\metre\per\kelvin\tothe{4}}"
"Temperature of the Sun","T.Sun",5772,"NASA, Wikipedia","<i>T</i><sub>Sun</sub>","\ensuremath{T_\text{Sun}}","K","\si{\kelvin}"
"Astronomical unit","R.AU",149597870700,"per definition","<i>R</i><sub>AU</sub>","\ensuremath{R_\text{AU}}","m","\si{\metre}"
"Radius of the Sun","R.Sun",695700000,"Wikipedia","<i>R</i><sub>Sun</sub>","\ensuremath{R_\text{Sun}}","m","\si{\metre}"
"Surface area of the Sun","A.Sun",6082104402130211840,"A=4×π×R²","<i>A</i><sub>Sun</sub>","\ensuremath{A_\text{Sun}}","m²","\si{\square\metre}"
"Radius of the Earth","R.Earth",6371008.7714,"IUGG, Wikipedia","<i>R</i><sub>Earth</sub>","\ensuremath{R_\text{Earth}}","m","\si{\metre}"
"Surface area of the Earth","A.Earth",510065876393414,"A=4×π×R²","<i>A</i><sub>Earth</sub>","\ensuremath{A_\text{Earth}}","m²","\si{\square\metre}"
